District,Year,Month,Date,Rainfall,Temperature,Soil_Moisture,NDVI,SPI3,Rainfall_lag1,SoilMoisture_lag1,NDVI_lag1,Rainfall_lag1_norm,SoilMoisture_lag1_norm,NDVI_norm,Groundwater_Proxy
Jogulamba Gadwal,2021,6,2021-06-01,68.3900473455483,27.47294175348918,0.4021962770687205,0.3097739490468942,-0.32393274562877633,50.98553474093404,0.2811535453439182,0.3108886406465174,0.06511097346821729,0.45852268410218144,0.210361456141313,0.2515257542564221
Jogulamba Gadwal,2021,7,2021-07-01,251.2990982451481,26.21227030404472,0.4417951016663177,0.3273441146626076,0.8577819360383377,68.3900473455483,0.4021962770687205,0.3097739490468942,0.08733737090004566,0.7933078919957648,0.23986024889171137,0.40023015493666647
Jogulamba Gadwal,2021,8,2021-08-01,151.19234891342282,26.327630598808664,0.4187352446929381,0.3952278486517832,1.369194794314268,251.2990982451481,0.4417951016663177,0.3273441146626076,0.320921002428757,0.9028320289376581,0.35383118370629235,0.5602674492878246
Jogulamba Gadwal,2021,9,2021-09-01,118.31792122171036,25.866461689961284,0.4467192903541582,0.5216920774137429,1.6240053767832032,151.19234891342282,0.4187352446929381,0.3952278486517832,0.19307988174920102,0.8390520819650362,0.5661537170381188,0.5260835288933187
Jogulamba Gadwal,2021,10,2021-10-01,81.06928742830428,26.239609585216822,0.3884593632847442,0.605193556336752,0.755224996601092,118.31792122171036,0.4467192903541582,0.5216920774137429,0.15109766071152667,0.9164515623873325,0.7063454986624601,0.5682887889720357
Jogulamba Gadwal,2021,11,2021-11-01,96.59322289540722,24.57777524977323,0.3861428846910523,0.5524164359234561,0.4765743346992281,81.06928742830428,0.3884593632847442,0.605193556336752,0.10352936866608414,0.7553137433884725,0.6177372651895612,0.46708469785973494
Jogulamba Gadwal,2021,12,2021-12-01,0.2467104558907667,23.817887908736488,0.2967088581203385,0.5024905264113269,-0.126010787644931,96.59322289540722,0.3861428846910523,0.5524164359234561,0.12335417888837152,0.7489067269859233,0.5339159689203713,0.4556875561337922
Jogulamba Gadwal,2022,1,2022-01-01,0.0114314467090979,23.97362749067384,0.2499156476556975,0.4379314245303547,-0.5396955271069632,0.2467104558907667,0.2967088581203385,0.5024905264113269,0.0003150610860405232,0.5015462390690634,0.42552680468645604,0.28584988099933273
Jogulamba Gadwal,2022,2,2022-02-01,0.8951743149805393,25.49811873401827,0.2351606698710081,0.4103571208216892,-1.0280975680270643,0.0114314467090979,0.2499156476556975,0.4379314245303547,1.4598505775439821e-05,0.3721235594072243,0.37923192687318064,0.22470164853983604
Jogulamba Gadwal,2022,3,2022-03-01,0.6209815544106038,29.431580366404543,0.2352234058693938,0.3681764785823004,-1.0261874479035502,0.8951743149805393,0.2351606698710081,0.4103571208216892,0.0011431805387211618,0.3313136054783651,0.30841426637340463,0.19466556768151544
Jogulamba Gadwal,2022,4,2022-04-01,0.4763000715186418,31.690558350681734,0.2363417073243417,0.31563257773429,-1.0238149566303776,0.6209815544106038,0.2352234058693938,0.3681764785823004,0.000793023231371927,0.3314871234084604,0.2201975884368713,0.17695157634330722
Jogulamba Gadwal,2022,5,2022-05-01,108.43404183952266,30.43567872780665,0.2969986001212442,0.2738026110748713,-0.47498242392641177,0.4763000715186418,0.2363417073243417,0.31563257773429,0.0006082580378364027,0.334580169804122,0.14996868199225982,0.1640691075352353
Jogulamba Gadwal,2022,6,2022-06-01,140.405924972254,28.940981495514347,0.3418110714006511,0.2281985794013191,0.23842033263867063,108.43404183952266,0.2969986001212442,0.2738026110748713,0.13847547264413337,0.5023476199915401,0.07340344587874138,0.2710099262300177
Jogulamba Gadwal,2022,7,2022-07-01,204.77023425526127,25.765226416589293,0.4736371582605238,0.3930744355043312,1.2810494758973392,140.405924972254,0.3418110714006511,0.2281985794013191,0.17930510098797212,0.6262918857869506,0.35021578875031883,0.3922819524600329
Jogulamba Gadwal,2022,8,2022-08-01,245.3517750146823,26.30015536995249,0.4275200042619545,0.4680670906718849,1.9798192137640633,204.77023425526127,0.4736371582605238,0.3930744355043312,0.26150141128108334,0.9909021623917447,0.4761219891228039,0.5961858272936921
Jogulamba Gadwal,2022,9,2022-09-01,213.16130692599583,25.94647549670709,0.4271993814182847,0.5050934859027322,2.351131665389089,245.3517750146823,0.4275200042619545,0.4680670906718849,0.3133259853904268,0.8633493488616134,0.5382861134172439,0.5783273563842649
Jogulamba Gadwal,2022,10,2022-10-01,120.7379459090601,24.69997824404469,0.4501819659910061,0.6135120066827547,1.9222666912305102,213.16130692599583,0.4271993814182847,0.5050934859027322,0.2722172135730507,0.8624625563723504,0.7203114593783774,0.5979341998538359
Jogulamba Gadwal,2022,11,2022-11-01,3.4940361184749587,24.19750919511161,0.2955126901494041,0.5388064482796124,0.6879279033297852,120.7379459090601,0.4501819659910061,0.6135120066827547,0.15418814831768984,0.9260287800065267,0.5948872697130144,0.5510642252722895
Jogulamba Gadwal,2022,12,2022-12-01,23.547655376897165,24.061248363145847,0.3259880092078734,0.5013054672761574,-0.2797793360196484,3.4940361184749587,0.2955126901494041,0.5388064482796124,0.004462051720414068,0.49823782610515766,0.5319263568364611,0.3074652224975209
Jogulamba Gadwal,2023,1,2023-01-01,0.0054495064963299,23.408119224605382,0.244380942309056,0.4818960962159418,-0.895946525665471,23.547655376897165,0.3259880092078734,0.5013054672761574,0.03007148541786163,0.5825277779364606,0.49933969676486606,0.34490764469470214
Jogulamba Gadwal,2023,2,2023-02-01,0.8938449832018839,25.786460686750708,0.2349942938650652,0.4585419470021025,-0.9092167926780991,0.0054495064963299,0.244380942309056,0.4818960962159418,6.959281190249877e-06,0.35681543265147764,0.4601300943861149,0.2347549756502902
Jogulamba Gadwal,2023,3,2023-03-01,15.72935975841084,27.734685544826725,0.2670443832920148,0.4076397946969422,-0.9491180403339098,0.8938449832018839,0.2349942938650652,0.4585419470021025,0.0011414829182762594,0.33085343554544644,0.3746697706623441,0.20773192151795788
Jogulamba Gadwal,2023,4,2023-04-01,31.69249381391481,31.39342883083329,0.2450152649504315,0.3591246049865914,-0.7874008753547045,15.72935975841084,0.2670443832920148,0.4076397946969422,0.020087146895797582,0.4194989551806468,0.29321695127446085,0.23447783108546993
Jogulamba Gadwal,2023,5,2023-05-01,22.10655229541325,31.716952994351487,0.2825177793414192,0.3423505671522795,-0.6791402608656041,31.69249381391481,0.2450152649504315,0.3591246049865914,0.04047283478234722,0.35856986957089,0.2650547884079263,0.21262803942288014
Jogulamba Gadwal,2023,6,2023-06-01,59.30916892326181,31.42580187963756,0.2576828334937347,0.3193795770819742,-0.45672749430711135,22.10655229541325,0.2825177793414192,0.3423505671522795,0.02823112765795503,0.4622959413309365,0.2264884771860566,0.24150852303276796
Jogulamba Gadwal,2023,7,2023-07-01,246.5016086039948,26.52311071832122,0.4250939538540554,0.3074881006740595,0.6395666478199775,59.30916892326181,0.2576828334937347,0.3193795770819742,0.07574065357569244,0.3936063769914094,0.20652371386364307,0.22904355499956935
Jogulamba Gadwal,2023,8,2023-08-01,36.53437764590398,27.67998469568444,0.342880960806916,0.4195354026237587,0.7132001173812337,246.5016086039948,0.4250939538540554,0.3074881006740595,0.3147943780376159,0.8566392740095734,0.39464147044867576,0.5475017549086109
Jogulamba Gadwal,2023,9,2023-09-01,137.0764849426508,26.871384360029506,0.4263177199263597,0.5222615441762705,1.1100913437350022,36.53437764590398,0.342880960806916,0.4195354026237587,0.04665615268462527,0.6292510320503867,0.5671098026194076,0.38378483441788636
