District,Year,Month,Rainfall,Temperature,Soil_Moisture,NDVI
Jangaon,2016,1,1.942149386841595,23.6730945935847,0.1294294396778697,0.358193786245201
Jangaon,2016,2,6.96492474343808,26.93025584268356,0.1183069048133161,0.3520681292878142
Jangaon,2016,3,19.878023213478063,29.360678378392468,0.1274948242068088,0.3306768886801697
Jangaon,2016,4,8.361867362723082,32.66481122036258,0.120406584964871,0.2712674922410977
Jangaon,2016,5,70.9751932732158,32.75605718375867,0.1491119233297261,0.274168525400196
Jangaon,2016,6,177.28335909087917,28.521042899617427,0.3234001058896762,0.3364900012250897
Jangaon,2016,7,248.8390299626936,26.17651508164718,0.3944832562863417,0.514593711205488
Jangaon,2016,8,130.7146218494615,26.806850512279937,0.3370495695348094,0.5701539549983665
Jangaon,2016,9,342.3013133619239,25.224548946513423,0.4077856683554532,0.5974822198627898
Jangaon,2016,10,28.77894254456365,24.998998201342538,0.3277341065524035,0.590994052188827
Jangaon,2016,11,5.888854973484132,23.419055203883644,0.1856193574631364,0.4914577042483657
Jangaon,2016,12,2.8232576408436985,22.38869038915472,0.1378459159192061,0.4400687053005845
Jangaon,2017,1,1.8759606654551024,22.61442001623163,0.1208841938419426,0.400970491669389
Jangaon,2017,2,3.194824992736581,25.445538928130045,0.1177153633648241,0.4112255094956093
Jangaon,2017,3,2.437990072052832,28.25669808369988,0.1258575216846035,0.4056715717902645
Jangaon,2017,4,15.74720930598135,31.90365706996314,0.1239651793364607,0.3071292776053577
Jangaon,2017,5,28.810859431444232,33.562789873477485,0.131311700391933,0.2612290958836982
Jangaon,2017,6,201.2116263769377,28.07778790906067,0.3383305653871832,0.4638735237667427
Jangaon,2017,7,182.1427889637618,26.93778749018451,0.3543162407787137,0.5210399154688007
Jangaon,2017,8,188.96981297556252,26.314849745867196,0.3514416712960966,0.6519166836818033
Jangaon,2017,9,163.04415544444743,26.78193157289792,0.3801300034505182,0.7155986217739299
